name,time,rating,source,item,kha_nng_은어전처리_sentence,감성결과,어간추출,sentence_조사제거
경쟁사,2022-06-30,4,naver,뿌리영양제,['사용'],부정,"[('좋다', 'Adjective'), ('거', 'Noun'), ('같다', 'Adjective'), ('사용', 'Noun'), ('해보다', 'Verb')]",좋다 거 같다 사용 해보다
경쟁사,2022-06-23,3,naver,뿌리영양제,['채감'],부정,"[('한번', 'Noun'), ('써다', 'Verb'), ('보다', 'Verb'), ('채', 'Noun'), ('감다', 'Verb'), ('별로', 'Noun'), ('에요', 'Josa')]",한번 써다 보다 채 감다 별로
경쟁사,2022-06-23,3,naver,뿌리영양제,[],부정,"[('더', 'Noun'), ('써다', 'Verb'), ('보고', 'Noun')]",더 써다 보고
경쟁사,2022-05-05,4,naver,뿌리영양제,['만족'],부정,"[('엄청', 'Adverb'), ('만족', 'Noun'), ('하다', 'Verb')]",엄청 만족 하다
경쟁사,2022-05-05,4,naver,뿌리영양제,['숨구멍'],부정,"[('다만', 'Noun'), ('숨구멍', 'Noun'), ('이', 'Josa'), ('있다', 'Adjective'), ('하다', 'Verb'), ('바램', 'Noun'), ('이', 'Josa')]",다만 숨구멍 있다 하다 바램
경쟁사,2022-05-04,1,naver,뿌리영양제,[],부정,"[('1', 'Number'), ('점도', 'Noun'), ('아깝다', 'Adjective')]",1 점도 아깝다
경쟁사,2022-05-04,1,naver,뿌리영양제,"['잔디밭', '효과']",부정,"[('저희', 'Noun'), ('잔디밭', 'Noun'), ('에', 'Josa'), ('효과', 'Noun'), ('하나', 'Noun'), ('도', 'Josa'), ('없다', 'Adjective')]",저희 잔디밭 효과 하나 없다
경쟁사,2022-05-04,1,naver,뿌리영양제,"['효과', '체크', '방법', '강구']",부정,"[('계속', 'Noun'), ('효과', 'Noun'), ('있다', 'Adjective'), ('지다', 'Verb'), ('체크', 'Noun'), ('하고', 'Josa'), ('다른', 'Noun'), ('방법', 'Noun'), ('강', 'Noun'), ('구해', 'Noun'), ('야', 'Josa'), ('겠다', 'Verb')]",계속 효과 있다 지다 체크 다른 방법 강 구해 겠다
경쟁사,2022-05-04,1,naver,뿌리영양제,"['돈', '시간']",부정,"[('돈', 'Noun'), ('쓰다', 'Verb'), ('시간', 'Noun'), ('써다', 'Verb')]",돈 쓰다 시간 써다
경쟁사,2022-06-20,4,naver,뿌리영양제,['배송'],부정,"[('배송', 'Noun'), ('자다', 'Verb'), ('받다', 'Verb'), ('쓰다', 'Verb')]",배송 자다 받다 쓰다
경쟁사,2022-06-05,3,naver,뿌리영양제,"['친환경', '제품', '잡초', '생존력']",부정,"[('친환경', 'Noun'), ('제품', 'Noun'), ('이라', 'Josa'), ('그렇다', 'Adjective'), ('잡초', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('생존', 'Noun'), ('력', 'Suffix'), ('이', 'Josa'), ('좋다', 'Adjective')]",친환경 제품 그렇다 잡초 들 생존 력 좋다
경쟁사,2022-06-05,3,naver,뿌리영양제,"['반려', '동물', '생각', '추천']",부정,"[('반려동물', 'Noun'), ('생각', 'Noun'), ('하다', 'Verb'), ('추천', 'Noun'), ('하다', 'Verb')]",반려동물 생각 하다 추천 하다
경쟁사,2022-06-09,3,naver,뿌리영양제,[],부정,"[('감사히', 'Adverb'), ('편하다', 'Adjective'), ('쓰다', 'Verb')]",감사히 편하다 쓰다
경쟁사,2022-06-07,4,naver,뿌리영양제,['배송'],부정,"[('배송', 'Noun'), ('도', 'Josa'), ('빠르다', 'Adjective'), ('좋다', 'Adjective')]",배송 빠르다 좋다
경쟁사,2022-06-07,4,naver,뿌리영양제,['배송'],부정,"[('배송', 'Noun'), ('도', 'Josa'), ('빠르다', 'Adjective'), ('좋다', 'Adjective')]",배송 빠르다 좋다
경쟁사,2022-05-25,4,naver,뿌리영양제,"['경', '시', '작년', '대비', '잡초']",부정,"[('한', 'Determiner'), ('달', 'Noun'), ('경과', 'Noun'), ('시', 'Noun'), ('작년', 'Noun'), ('대비', 'Noun'), ('잡초', 'Noun'), ('가', 'Josa'), ('많이', 'Adverb'), ('사라지다', 'Verb')]",한 달 경과 시 작년 대비 잡초 많이 사라지다
경쟁사,2022-05-25,4,naver,뿌리영양제,['잔디'],부정,"[('잔디', 'Noun'), ('도', 'Josa'), ('잘', 'VerbPrefix'), ('자라다', 'Verb')]",잔디 잘 자라다
경쟁사,2022-04-12,4,naver,뿌리영양제,[],부정,"[('듬뿍', 'Noun'), ('뿌리다', 'Verb'), ('모르다', 'Verb')]",듬뿍 뿌리다 모르다
경쟁사,2022-04-12,4,naver,뿌리영양제,"['통', '테스트', '정', '고사', '풀', '풀']",부정,"[('아직', 'Adverb'), ('1', 'Number'), ('통', 'Noun'), ('20', 'Number'), ('리터', 'Noun'), ('짜다', 'Verb'), ('리만', 'Noun'), ('사서', 'Noun'), ('일단', 'Noun'), ('테스트', 'Noun'), ('용', 'Noun'), ('으로', 'Josa'), ('뿌리다', 'Verb'), ('3일', 'Number'), ('정도', 'Foreign'), ('지나다', 'Verb'), ('고사', 'Noun'), ('되다', 'Verb'), ('풀이', 'Noun'), ('있다', 'Adjective'), ('안되다', 'Adjective'), ('풀이', 'Noun'), ('있다', 'Adjective')]",아직 1 통 20 리터 짜다 리만 사서 일단 테스트 용 뿌리다 3일 정도 지나다 고사 되다 풀이 있다 안되다 풀이 있다
경쟁사,2022-04-12,4,naver,뿌리영양제,['면적'],부정,"[('면적', 'Noun'), ('이', 'Josa'), ('넓다', 'Adjective')]",면적 넓다
경쟁사,2022-04-12,4,naver,뿌리영양제,"['구매', '후', '예정']",부정,"[('아마', 'Noun'), ('충분하다', 'Adjective'), ('안', 'VerbPrefix'), ('뿌리다', 'Verb'), ('같다', 'Adjective'), ('다시', 'Noun'), ('구매', 'Noun'), ('후', 'Noun'), ('뿌리다', 'Verb'), ('볼', 'Noun'), ('예정', 'Noun'), ('이다', 'Adjective')]",아마 충분하다 안 뿌리다 같다 다시 구매 후 뿌리다 볼 예정 이다
경쟁사,2022-06-07,4,naver,뿌리영양제,[],부정,"[('좋다', 'Adjective')]",좋다
경쟁사,2022-04-13,3,naver,뿌리영양제,"['약', '이상', '잡초']",부정,"[('약', 'Noun'), ('뿌리', 'Noun'), ('고', 'Josa'), ('2', 'Number'), ('주', 'Noun'), ('이상', 'Noun'), ('이', 'Josa'), ('지나다', 'Verb'), ('잡초', 'Noun'), ('는', 'Josa'), ('거의', 'Noun'), ('안', 'VerbPrefix'), ('죽다', 'Verb'), ('계속', 'Noun'), ('올라오다', 'Verb')]",약 뿌리 2 주 이상 지나다 잡초 거의 안 죽다 계속 올라오다
경쟁사,2022-04-13,3,naver,뿌리영양제,"['찬환경', '재품', '약효과']",부정,"[('찬', 'Noun'), ('환경', 'Noun'), ('재품', 'Noun'), ('이라', 'Josa'), ('그렇다', 'Adjective'), ('약', 'Modifier'), ('효과', 'Noun'), ('가', 'Josa'), ('약하다', 'Adjective'), ('같다', 'Adjective')]",찬 환경 재품 그렇다 약 효과 약하다 같다
경쟁사,2022-04-13,3,naver,뿌리영양제,"['며칠', '잡초', '판매자', '말씀']",부정,"[('약', 'Modifier'), ('뿌리', 'Noun'), ('고', 'Josa'), ('며칠', 'Noun'), ('지나다', 'Verb'), ('잡초', 'Noun'), ('가', 'Josa'), ('누렇', 'Noun'), ('게', 'Josa'), ('변하다', 'Adjective'), ('판매', 'Noun'), ('자', 'Noun'), ('님', 'Suffix'), ('말씀', 'Noun'), ('과', 'Josa'), ('너무', 'Adverb'), ('달라', 'Noun'), ('요', 'Josa'), ('ㅜㅜ', 'KoreanParticle')]",약 뿌리 며칠 지나다 잡초 누렇 변하다 판매 자 님 말씀 너무 달라 ㅜㅜ
경쟁사,2022-05-11,4,naver,뿌리영양제,"['묘소', '시', '잡초', '후기', '올']",부정,"[('묘소', 'Noun'), ('에', 'Josa'), ('찌다', 'Verb'), ('첬는데', 'Noun'), ('시간', 'Noun'), ('지나다', 'Verb'), ('잡초', 'Noun'), ('없어지다', 'Verb'), ('보고', 'Noun'), ('후기', 'Noun'), ('또', 'Noun'), ('올리다', 'Verb')]",묘소 찌다 첬는데 시간 지나다 잡초 없어지다 보고 후기 또 올리다
경쟁사,2022-04-29,4,naver,뿌리영양제,['배송이'],부정,"[('배송', 'Noun'), ('이', 'Josa'), ('빠르다', 'Adjective')]",배송 빠르다
경쟁사,2022-04-29,4,naver,뿌리영양제,[],부정,"[('비싸다', 'Adjective')]",비싸다
